2022.06.30, 10, 43, 9, 20, 21, 44
2022.06.26, 35, 33, 27, 10, 46, 43
2022.06.23, 28, 42, 8, 1, 25, 46
2022.06.19, 28, 26, 9, 2, 48, 5
2022.06.16, 36, 24, 21, 22, 31, 35
2022.06.12, 36, 13, 19, 37, 27, 38
2022.06.09, 6, 39, 42, 5, 34, 13
2022.06.05, 15, 23, 18, 34, 11, 41
2022.06.02, 7, 39, 31, 12, 25, 35
2022.05.29, 26, 10, 20, 41, 16, 13
2022.05.26, 22, 32, 33, 41, 44, 19
2022.05.22, 47, 34, 38, 9, 39, 30
2022.05.19, 6, 11, 32, 17, 15, 7
2022.05.15, 45, 6, 24, 5, 39, 44
2022.05.12, 25, 10, 8, 44, 23, 28
2022.05.08, 22, 8, 27, 3, 41, 11
2022.05.05, 12, 36, 34, 38, 41, 40
2022.05.01, 10, 29, 37, 49, 26, 42
2022.04.28, 2, 43, 26, 16, 38, 32
2022.04.24, 5, 37, 35, 3, 31, 49
2022.04.23, 30, 24, 23, 29, 41, 18
2022.04.17, 20, 16, 13, 35, 25, 19
2022.04.14, 10, 12, 27, 49, 15, 21
2022.04.10, 40, 33, 36, 35, 43, 4
2022.04.07, 49, 8, 48, 5, 11, 19
2022.04.03, 25, 20, 11, 49, 34, 27 
2022.03.27, 7, 31, 9, 13, 8, 3
2022.03.25, 46, 38, 39, 22, 3, 5
2022.03.24, 7, 2, 13, 19, 46, 24
2022.03.20, 8, 2, 32, 9, 39, 6
2022.03.17, 18, 17, 28, 39, 15, 43
2022.03.13, 42, 24, 16, 48, 5, 4
2022.03.10, 10, 8, 6, 4, 42, 48
2022.03.06, 19, 42, 41, 18, 34, 28
2022.03.03, 44, 38, 10, 11, 24, 21
2022.02.03, 21, 41, 1, 26, 7, 29
2022.02.06, 49, 33, 23, 16, 10, 7
2022.02.10, 41, 13, 27, 48, 23, 29
2022.02.13, 32, 3, 7, 40, 37, 14
2022.02.17, 45, 12, 26, 11, 44, 37
2022.02.20, 46, 20, 37, 25, 32, 8
2022.02.27, 49, 24, 47, 18, 40, 10
2022.01.06, 44, 36, 29, 25, 34, 14
2022.01.09, 7, 26, 5, 48, 49, 25
2022.01.13, 29, 12, 23, 42, 27, 10
2022.01.16, 13, 42, 40, 14, 37, 23
2022.01.20, 46, 28, 48, 7, 3, 14
